asv_id,total_reads
1SO1,8080.0
1SO10,4070.0
1SO1000,1.0
1SO10001,1.0
1SO10002,2.0
1SO10003,1.0
1SO10005,7.0
1SO10006,1.0
1SO1001,974.0
1SO10011,7.0
1SO10012,7.0
1SO10017,1.0
1SO10019,7.0
1SO1002,981.0
1SO10029,7.0
1SO10032,1.0
1SO10033,7.0
1SO10034,7.0
1SO10037,7.0
1SO10038,7.0
1SO1004,980.0
1SO10041,7.0
1SO10042,1.0
1SO10044,7.0
1SO10045,7.0
1SO10046,7.0
1SO10048,7.0
1SO10055,7.0
1SO10056,3.0
1SO10058,7.0
1SO10059,7.0
1SO1006,979.0
1SO10060,7.0
1SO10062,6.0
1SO10063,7.0
1SO10064,6.0
1SO10068,5.0
1SO1007,978.0
1SO10070,1.0
1SO10073,7.0
1SO10074,2.0
1SO10077,7.0
1SO10085,7.0
1SO10087,7.0
1SO10089,7.0
1SO1009,2.0
1SO10090,7.0
1SO10093,5.0
1SO10096,1.0
1SO10098,4.0
1SO101,2198.0
1SO1010,975.0
1SO10100,7.0
1SO10101,1.0
1SO10102,7.0
1SO10104,3.0
1SO10107,7.0
1SO10108,7.0
1SO1011,973.0
1SO10110,7.0
1SO10119,3.0
1SO1012,7.0
1SO10120,5.0
1SO10121,2.0
1SO10127,2.0
1SO10129,1.0
1SO1013,970.0
1SO10133,1.0
1SO10134,4.0
1SO10139,7.0
1SO10143,1.0
1SO10145,1.0
1SO1015,1.0
1SO10150,1.0
1SO10156,1.0
1SO10157,7.0
1SO10159,6.0
1SO1016,27.0
1SO10160,6.0
1SO10166,1.0
1SO10170,1.0
1SO10175,1.0
1SO10177,7.0
1SO10181,7.0
1SO1019,948.0
1SO102,5598.0
1SO1020,961.0
1SO10202,7.0
1SO10214,6.0
1SO10220,6.0
1SO10227,6.0
1SO1023,8.0
1SO10230,6.0
1SO10231,3.0
1SO10233,6.0
1SO10237,6.0
1SO1024,8.0
1SO10241,6.0
1SO10247,6.0
1SO10256,6.0
1SO10257,6.0
1SO10258,6.0
1SO10259,6.0
1SO10264,6.0
1SO10265,6.0
1SO10269,5.0
1SO10270,6.0
1SO10272,6.0
1SO10274,6.0
1SO10277,6.0
1SO1028,953.0
1SO10283,6.0
1SO10284,6.0
1SO10285,6.0
1SO1029,949.0
1SO10292,6.0
1SO10294,6.0
1SO10295,6.0
1SO103,1695.0
1SO10300,6.0
1SO10302,3.0
1SO10303,6.0
1SO10308,6.0
1SO1031,831.0
1SO10310,6.0
1SO10311,6.0
1SO10316,6.0
1SO10318,6.0
1SO1032,945.0
1SO10320,6.0
1SO10323,6.0
1SO10326,6.0
1SO1033,945.0
1SO10331,6.0
1SO10334,6.0
1SO10335,5.0
1SO10337,6.0
1SO10339,6.0
1SO1034,943.0
1SO10341,6.0
1SO10342,6.0
1SO10343,6.0
1SO10345,6.0
1SO10347,1.0
1SO10350,6.0
1SO10351,3.0
1SO10352,6.0
1SO10353,6.0
1SO10354,6.0
1SO10358,6.0
1SO10359,6.0
1SO1036,939.0
1SO10362,6.0
1SO10364,6.0
1SO10368,6.0
1SO1037,1.0
1SO10370,6.0
1SO10372,6.0
1SO10373,6.0
1SO10379,5.0
1SO1038,146.0
