read_bin,Authenticated,Environmental_Contamination,Failed,Nuclear_Pseudogenes,Technical_Artifacts
1,0.0,0.0,0.0,0.0,100.0
2,0.0,0.0,0.0,0.0,100.0
3,0.0,0.0,0.0,0.0,100.0
4,1.4413680781758957,52.73615635179153,0.0,45.82247557003257,0.0
5,1.37444279346211,53.44229816740961,0.0,45.18325903912828,0.0
6-10,2.350319116604194,49.650491338263606,0.0,47.999189545132204,0.0
11-20,3.8798586572438163,46.84805653710247,0.0,49.27208480565371,0.0
21-50,8.286584388523801,42.53085430357429,0.0,49.182561307901906,0.0
51-100,18.939261333800104,42.74461753894626,0.0,38.31612112725363,0.0
101-500,45.61915178028922,33.35763762304047,0.0,21.023210596670314,0.0
501-1000,71.74202127659575,21.27659574468085,0.0,6.981382978723404,0.0
>1000,85.32228837690914,11.77841056173958,0.0,2.8993010613512813,0.0
