family,Total_Specimens,Authenticated,Success_Rate,Success_Pct,CI_Lower,CI_Upper,95_CI
Aderidae,105,95,0.9047619047619048,90.5,84.86139520602025,96.0909857463607,84.9-96.1
Anamorphidae,41,0,0.0,0.0,0.0,0.0,0.0-0.0
Anobiidae,47,14,0.2978723404255319,29.8,16.712578011790434,42.86189007331595,16.7-42.9
Anthicidae,75,40,0.5333333333333333,53.3,42.042442872107195,64.62422379455947,42.0-64.6
Anthribidae,177,159,0.8983050847457628,89.8,85.37773105627758,94.28328589287497,85.4-94.3
Archeocrypticidae,2,0,0.0,0.0,0.0,0.0,0.0-0.0
Artematopodidae,20,19,0.95,95.0,85.44814154208721,104.5518584579128,85.4-100.0
Attelabidae,86,68,0.7906976744186046,79.1,70.47173452596829,87.66780035775264,70.5-87.7
Biphyllidae,85,74,0.8705882352941177,87.1,79.92306927318835,94.19457778563518,79.9-94.2
Bostrichidae,19,15,0.7894736842105263,78.9,60.61572946724494,97.27900737486033,60.6-97.3
Bothrideridae,4,2,0.5,50.0,1.0000000000000009,99.0,1.0-99.0
Brachyceridae,7,5,0.7142857142857143,71.4,37.96217036720841,104.89497248993445,38.0-100.0
Brentidae,142,48,0.3380281690140845,33.8,26.022306273703887,41.583327529113014,26.0-41.6
Buprestidae,206,178,0.8640776699029126,86.4,81.72778418294058,91.08774979764193,81.7-91.1
Byrrhidae,5,0,0.0,0.0,0.0,0.0,0.0-0.0
Byturidae,1,1,1.0,100.0,100.0,100.0,100.0-100.0
Callirhipidae,1,1,1.0,100.0,100.0,100.0,100.0-100.0
Cantharidae,164,148,0.9024390243902439,90.2,85.70259244443369,94.7852124336151,85.7-94.8
Carabidae,619,348,0.5621970920840065,56.2,52.31135095988475,60.12806745691655,52.3-60.1
Cerambycidae,413,365,0.8837772397094431,88.4,85.28673080549576,91.46871713639287,85.3-91.5
Cerylonidae,29,25,0.8620689655172413,86.2,73.65645300596476,98.7573400974835,73.7-98.8
Chelonariidae,14,13,0.9285714285714286,92.9,79.36640529391083,106.3478804203749,79.4-100.0
Chrysomelidae,1903,1770,0.9301103520756699,93.0,91.86549498575593,94.15657542937807,91.9-94.2
Cicadellidae,1,0,0.0,0.0,0.0,0.0,0.0-0.0
Cicindelidae,15,15,1.0,100.0,100.0,100.0,100.0-100.0
Ciidae,33,28,0.8484848484848485,84.8,72.61502842342912,97.08194127354058,72.6-97.1
Clambidae,8,6,0.75,75.0,44.99375065090607,105.00624934909393,45.0-100.0
Cleridae,225,203,0.9022222222222223,90.2,86.34123999818156,94.1032044462629,86.3-94.1
Cneoglossidae,1,0,0.0,0.0,0.0,0.0,0.0-0.0
Coccinellidae,307,269,0.8762214983713354,87.6,83.93817677031417,91.30612290395293,83.9-91.3
Corylophidae,108,94,0.8703703703703703,87.0,80.70201131236341,93.37206276171067,80.7-93.4
Cryptophagidae,18,6,0.3333333333333333,33.3,11.555555555555552,55.111111111111114,11.6-55.1
Cupedidae,1,0,0.0,0.0,0.0,0.0,0.0-0.0
Curculionidae,2643,2292,0.8671963677639046,86.7,85.42582472672655,88.01344882605439,85.4-88.0
Cybocephalidae,13,5,0.38461538461538464,38.5,12.014865879357279,64.90821104371965,12.0-64.9
Dascillidae,3,2,0.6666666666666666,66.7,13.322223379388564,120.01110995394475,13.3-100.0
Dermestidae,44,34,0.7727272727272727,77.3,64.88999408727913,89.65546045817541,64.9-89.7
Diapriidae,1,0,0.0,0.0,0.0,0.0,0.0-0.0
Diplatyidae,1,0,0.0,0.0,0.0,0.0,0.0-0.0
Discolomatidae,3,2,0.6666666666666666,66.7,13.322223379388564,120.01110995394475,13.3-100.0
Disteniidae,11,11,1.0,100.0,100.0,100.0,100.0-100.0
Dryophthoridae,59,47,0.7966101694915254,79.7,69.38990161609,89.93213228221508,69.4-89.9
Dryopidae,64,54,0.84375,84.4,75.47924137667984,93.27075862332016,75.5-93.3
Dytiscidae,42,39,0.9285714285714286,92.9,85.06826189344426,100.64602382084146,85.1-100.0
Elateridae,291,268,0.9209621993127147,92.1,88.99631836958176,95.19612149296118,89.0-95.2
Elmidae,6,4,0.6666666666666666,66.7,28.946449079611114,104.3868842537222,28.9-100.0
Endomychidae,126,105,0.8333333333333334,83.3,76.82597757140164,89.84068909526503,76.8-89.8
Epimetopidae,1,0,0.0,0.0,0.0,0.0,0.0-0.0
Erotylidae,224,174,0.7767857142857143,77.7,72.2254688140042,83.13167404313866,72.2-83.1
Eucinetidae,17,1,0.058823529411764705,5.9,-5.3028194134402975,17.06752529579324,0.0-17.1
Eucnemidae,125,109,0.872,87.2,81.34314742818295,93.05685257181705,81.3-93.1
Geotrupidae,13,11,0.8461538461538461,84.6,65.00200729611596,104.22876193465326,65.0-100.0
Glaphyridae,1,0,0.0,0.0,0.0,0.0,0.0-0.0
Glaresidae,1,0,0.0,0.0,0.0,0.0,0.0-0.0
Gyrinidae,5,2,0.4,40.0,-2.94144850840502,82.94144850840503,0.0-82.9
